Lead_ID,Lead_Source,Industry,Total_Visits,Time_Spent_Website,Page_Views,Email_Opens,Email_Clicks,Previous_Interactions,Lead_Quality_Score,Age,Annual_Income,Sales_Calls,Days_Since_Last_Activity,Estimated_Lead_Value
10001,Website,IT,4.0,1408.0,4.93,11.0,6,12,20.66,43,65285.0,13,93,76395.09
10002,Referral,Manufacturing,3.0,514.0,6.95,15.0,9,15,78.89,41,91555.0,2,69,103479.7
10003,LinkedIn,Finance,13.0,791.0,13.09,13.0,2,0,32.17,33,142713.0,2,117,72876.96
10004,Referral,Healthcare,23.0,73.0,8.57,15.0,4,5,92.98,57,57471.0,3,9,104055.36
10005,Referral,Finance,9.0,600.0,1.13,7.0,6,12,91.42,46,73671.0,8,126,104722.27
10006,Facebook,Finance,21.0,612.0,10.94,9.0,2,10,72.31,60,143216.0,10,77,109930.82
10007,LinkedIn,Manufacturing,6.0,1145.0,18.51,16.0,9,9,73.78,27,45270.0,12,10,112483.33
10008,LinkedIn,Retail,26.0,1318.0,16.43,17.0,1,15,20.43,59,113151.0,7,102,86462.65
10009,LinkedIn,Education,30.0,924.0,16.68,19.0,5,10,98.79,42,144870.0,0,58,138920.23
10010,Referral,Education,28.0,249.0,16.11,15.0,7,9,90.23,59,38698.0,12,113,121986.54
10011,Website,Healthcare,12.0,954.0,7.15,16.0,3,7,91.61,43,139454.0,11,180,113924.9
10012,LinkedIn,Healthcare,2.0,1495.0,15.54,15.0,8,6,72.74,50,128882.0,10,162,108897.24
10013,Email,Education,3.0,430.0,3.72,18.0,7,3,47.58,38,97265.0,0,106,55792.98
10014,Referral,Retail,3.0,1453.0,13.5,7.0,6,0,91.49,38,64729.0,6,35,116012.34
10015,Facebook,Education,28.0,756.0,13.19,5.0,6,0,43.32,30,36171.0,2,103,67333.86
10016,Website,Retail,12.0,1020.0,1.49,5.0,2,3,65.02,59,104483.0,13,103,97123.72
10017,Email,Healthcare,15.0,928.0,15.97,20.0,5,4,27.98,50,85684.0,10,161,62155.3
10018,Email,IT,9.0,887.0,18.16,8.0,4,11,93.76,46,80165.0,6,160,118286.52
10019,Facebook,Manufacturing,23.0,833.0,6.08,3.0,0,6,31.26,27,74948.0,8,97,84112.79
10020,Website,Healthcare,8.0,791.0,16.44,11.0,10,13,37.99,27,59725.0,2,136,68500.78
10021,Referral,Healthcare,11.0,967.0,2.57,11.0,2,3,64.65,25,44450.0,2,174,80410.18
10022,Google,Finance,16.0,873.0,12.4,16.0,0,9,81.13,21,38300.0,1,142,89689.9
10023,Website,Finance,26.0,1498.0,10.23,14.0,3,13,69.55,38,109600.0,9,136,127616.96
10024,Facebook,Finance,27.0,1322.0,11.37,8.0,9,11,38.57,33,29441.0,0,106,91528.65
10025,Email,Manufacturing,25.0,296.0,18.6,6.0,2,0,20.08,45,136315.0,8,71,59328.85
10026,Referral,Finance,22.0,83.0,17.55,9.0,10,10,80.57,60,44332.0,5,77,101635.31
10027,Website,Retail,4.0,557.0,15.92,15.0,3,9,98.82,28,45115.0,5,54,105220.82
10028,Google,Education,28.0,645.0,6.2,11.0,8,6,84.79,30,124405.0,7,21,131581.42
10029,Google,IT,1.0,1112.0,18.32,6.0,2,1,56.82,52,112404.0,10,111,85227.76
10030,LinkedIn,Healthcare,24.0,1093.0,2.85,17.0,5,15,92.3,37,66997.0,4,75,129450.32
10031,LinkedIn,Retail,7.0,1290.0,17.21,14.0,5,12,52.79,58,111151.0,8,14,107887.11
10032,Facebook,IT,2.0,984.0,7.24,5.0,6,10,61.99,35,38615.0,14,2,110095.15
10033,Website,Retail,24.0,415.0,2.02,11.0,8,1,58.17,35,39732.0,10,108,87686.69
10034,Website,Retail,28.0,763.0,13.72,10.0,6,7,55.81,60,50367.0,4,145,90423.35
10035,Email,Healthcare,5.0,745.0,5.39,19.0,0,11,82.02,40,135670.0,1,78,112566.41
10036,Email,Education,7.0,679.0,5.63,2.0,7,9,62.14,35,67738.0,5,48,86669.29
10037,Email,Finance,4.0,329.0,6.81,1.0,4,9,45.34,55,136296.0,14,91,87829.44
10038,LinkedIn,Manufacturing,5.0,424.0,2.21,5.0,8,9,40.65,26,25981.0,8,136,63521.34
10039,Website,Education,24.0,1260.0,4.37,4.0,9,4,23.02,50,87881.0,2,17,85026.89
10040,Website,Manufacturing,1.0,1389.0,1.1,17.0,4,9,66.66,28,83609.0,9,12,111507.35
10041,Google,Healthcare,1.0,622.0,9.46,15.0,4,1,60.515,51,112090.0,15,166,63440.02
10042,LinkedIn,Healthcare,15.0,543.0,2.6,7.0,1,4,31.85,52,115855.0,3,146,53283.87
10043,Referral,Healthcare,20.0,1231.0,13.97,19.0,10,7,72.31,35,106666.0,9,26,128994.16
10044,LinkedIn,IT,16.0,425.0,5.48,10.0,2,5,74.5,38,109351.0,10,37,103092.33
10045,Referral,Manufacturing,29.0,400.0,18.93,9.0,9,2,80.17,33,33566.0,7,70,102633.7
10046,Google,Education,10.0,887.0,17.55,11.0,8,7,60.29,44,116865.0,5,169,94664.52
10047,Facebook,Education,28.0,820.0,6.5,20.0,6,14,91.52,60,96885.0,12,79,137009.22
10048,Website,Retail,18.0,687.0,15.88,5.0,0,13,94.91,34,143585.0,6,170,119770.5
10049,Google,Retail,28.0,1371.0,16.26,19.0,2,8,84.59,48,35728.0,6,90,126723.68
10050,Website,Retail,3.0,765.0,19.74,4.0,1,4,70.85,31,130852.0,3,41,89354.95
10051,Email,Healthcare,11.0,1422.0,12.36,8.0,0,12,44.3,26,108911.0,14,175,104437.87
10052,Facebook,Education,15.0,413.0,2.56,15.0,8,1,98.64,45,142616.0,11,142,111507.35
10053,Facebook,Manufacturing,27.0,91.0,13.29,13.0,7,1,41.93,21,112350.0,15,129,90288.23
10055,Facebook,IT,11.0,268.0,13.13,19.0,10,0,55.37,22,146463.0,11,53,85289.68
10056,Referral,Retail,17.0,224.0,6.84,18.0,1,9,24.55,52,82935.0,8,118,61928.5
10057,Facebook,Healthcare,17.0,707.0,17.33,13.0,0,11,98.28,33,112081.0,2,109,118740.48
10058,Website,Healthcare,6.0,1275.0,19.23,6.0,6,1,67.07,53,70588.0,7,159,95669.23
10059,Website,IT,5.0,90.0,5.14,4.0,10,9,64.56,52,43953.0,6,136,68644.18
10060,Website,Finance,8.0,1182.0,2.67,17.0,10,3,72.46,44,93408.0,3,158,91734.44
10061,Website,Education,2.0,1019.0,4.7,1.0,1,0,60.515,47,99904.0,9,77,87467.71
10062,Referral,Manufacturing,16.0,714.0,16.59,10.0,0,3,22.57,24,59103.0,12,80,73916.27
10063,LinkedIn,Finance,20.0,185.0,13.86,7.0,1,12,68.98,44,95949.0,2,45,96618.5
